threshold,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,iou,accuracy
0.77,22354,29503,31407,1555136,0.43107005804423704,0.4158032774687971,0.42329905887254066,0.26847136817832434,0.962823486328125
0.78,22012,28265,31749,1556374,0.4378145076277423,0.40944178865720504,0.423153078682789,0.26835393655670153,0.963370361328125
0.79,21676,27124,32085,1557515,0.4441803278688525,0.403191904912483,0.42269478651729214,0.2679854113865364,0.9638616943359375
0.8,21257,25916,32504,1558723,0.45061793822737584,0.39539815107605886,0.42120593655259875,0.2667896632654342,0.96434326171875
0.81,20848,24747,32913,1559892,0.45724311876302226,0.3877904056844181,0.4196626273199404,0.2655525551536149,0.96480712890625
0.82,20375,23514,33386,1561125,0.46423933103966825,0.3789922062461636,0.4173067076292883,0.263668715626011,0.96527099609375
0.83,19896,22332,33865,1562307,0.4711565785734584,0.37008240174103907,0.41454750023440184,0.26146951756403347,0.9657000732421875
0.84,19387,21002,34374,1563637,0.48000693258065313,0.3606145719015643,0.4118321826872013,0.2593127616601795,0.966201171875
0.85,18844,19750,34917,1564889,0.48826242421101723,0.3505143133498261,0.4080775269341129,0.2563425881840813,0.9666339111328125
0.86,18240,18382,35521,1566257,0.4980612746436568,0.33927940328490913,0.4036157241959218,0.25283118251250986,0.9671002197265625
0.87,17538,17022,36223,1567617,0.5074652777777777,0.3262216104611149,0.39714224250178326,0.24777135752935026,0.9675018310546875
0.88,16783,15643,36978,1568996,0.5175784863998026,0.31217797287996873,0.3894554863262441,0.24181603365800242,0.9678826904296876
0.89,15950,14368,37811,1570271,0.5260901114849265,0.2966834694295121,0.37940508331450185,0.23411469418309383,0.9681524658203124
0.9,14946,12964,38815,1571675,0.5355069867431028,0.27800822157325944,0.36600506911878145,0.22399400524541027,0.9683966064453124
0.91,13826,11584,39935,1573055,0.544116489571035,0.2571752757575194,0.3492693031539326,0.21158466600351977,0.9685552978515625
0.92,12552,10058,41209,1574581,0.5551525873507298,0.2334777998921151,0.32871115999528616,0.19668123912941288,0.9687091064453125
0.93,11128,8479,42633,1576160,0.5675524047534044,0.2069901973549599,0.30334750845055064,0.1787917737789203,0.9688037109375
0.94,9348,6877,44413,1577762,0.5761479198767334,0.17388069418351593,0.26713914211413714,0.15416075728091297,0.968695068359375
0.95,7527,5501,46234,1579138,0.5777556033159349,0.14000855638846005,0.22539639761038494,0.12701225068340588,0.9684234619140625
